v' v'' PQR E2-E1 AJJ FCFs
0	0	R(0)	-9552.9003	3.29E+04	4.01E-01
0	0	Q(1)	-9550.0093	4.94E+04	4.01E-01
0	0	P(2)	-9544.2274	1.64E+04	4.01E-01
0	0	R(1)	-9556.5232	2.97E+04	4.01E-01
0	0	Q(2)	-9550.7414	4.94E+04	4.01E-01
0	0	P(3)	-9542.0689	1.97E+04	4.01E-01
0	0	R(2)	-9560.512	2.83E+04	4.01E-01
0	0	Q(3)	-9551.8395	4.94E+04	4.01E-01
0	0	P(4)	-9540.2768	2.11E+04	4.00E-01
0	0	R(3)	-9564.8663	2.76E+04	4.01E-01
0	0	Q(4)	-9553.3036	4.94E+04	4.01E-01
0	0	P(5)	-9538.8514	2.18E+04	4.00E-01
0	0	R(4)	-9569.5861	2.71E+04	4.01E-01
0	0	Q(5)	-9555.1338	4.94E+04	4.01E-01
0	0	P(6)	-9537.7926	2.23E+04	4.00E-01
0	0	R(5)	-9574.6712	2.68E+04	4.01E-01
0	0	Q(6)	-9557.33	                 4.94E+04	4.01E-01
0	0	P(7)	-9537.1007	2.26E+04	4.00E-01
0	0	R(6)	-9580.1215	2.66E+04	4.01E-01
0	0	Q(7)	-9559.8922	4.95E+04	4.01E-01
0	0	P(8)	-9536.7758	2.29E+04	4.00E-01
0	0	R(7)	-9585.9368	2.64E+04	4.01E-01
0	0	Q(8)	-9562.8204	4.95E+04	4.01E-01
0	0	P(9)	-9536.818	2.31E+04	4.00E-01
0	0	R(8)	-9592.1169	2.63E+04	4.01E-01
0	0	Q(9)	-9566.1145	4.95E+04	4.01E-01
0	0	P(10)	-9537.2274	2.32E+04	4.00E-01
0	0	R(9)	-9598.6618	2.63E+04	4.01E-01
0	0	Q(10)	-9569.7747	4.96E+04	4.00E-01
0	0	P(11)	-9538.0042	2.33E+04	3.99E-01
0	0	R(10)	-9605.5713	2.62E+04	4.01E-01
0	0	Q(11)	-9573.8008	4.96E+04	4.00E-01
0	0	P(12)	-9539.1484	2.34E+04	3.99E-01
0	0	R(11)	-9612.8452	2.62E+04	4.01E-01
0	0	Q(12)	-9578.1928	4.97E+04	4.00E-01
0	0	P(13)	-9540.6603	2.35E+04	3.99E-01
0	0	R(12)	-9620.4833	2.62E+04	4.01E-01
0	0	Q(13)	-9582.9507	4.97E+04	4.00E-01
0	0	P(14)	-9542.5399	2.36E+04	3.99E-01
0	0	R(13)	-9628.4855	2.62E+04	4.01E-01
0	0	Q(14)	-9588.0746	4.98E+04	4.00E-01
0	0	P(15)	-9544.7873	2.36E+04	3.99E-01
0	0	R(14)	-9636.8516	2.62E+04	4.01E-01
0	0	Q(15)	-9593.5643	4.99E+04	4.00E-01
0	0	P(16)	-9547.4027	2.37E+04	3.98E-01
